tconst,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt5095030,Ant-Man and the Wasp,0,2018,118,"Action,Adventure,Comedy",7.0,437054
tt5109784,Mother!,0,2017,121,"Drama,Horror,Mystery",6.6,242822
tt5164214,Ocean's Eight,0,2018,110,"Action,Comedy,Crime",6.3,235606
tt5198068,Wolfwalkers,0,2020,103,"Action,Adventure,Animation",8.0,36896
tt5311514,Your Name.,0,2016,106,"Animation,Drama,Fantasy",8.4,302328
tt5323662,A Silent Voice: The Movie,0,2016,130,"Animation,Drama",8.1,94828
tt5362988,Wind River,0,2017,107,"Crime,Drama,Mystery",7.7,270677
tt5442430,Life,0,2017,104,"Horror,Sci-Fi,Thriller",6.6,245927
tt5463162,Deadpool 2,0,2018,119,"Action,Adventure,Comedy",7.6,622732
tt5519340,Bright,0,2017,117,"Action,Fantasy,Thriller",6.3,198371
tt5537002,Killers of the Flower Moon,0,2023,206,"Crime,Drama,History",8.1,64373
tt5571734,Pink,0,2016,136,"Crime,Drama,Thriller",8.1,47167
tt5580036,"I, Tonya",0,2017,119,"Biography,Comedy,Drama",7.5,235321
tt5580390,The Shape of Water,0,2017,123,"Drama,Fantasy,Romance",7.3,438946
tt5606664,Doctor Sleep,0,2019,152,"Drama,Fantasy,Horror",7.3,210877
tt5700672,Train to Busan,0,2016,118,"Action,Horror,Thriller",7.6,245182
tt5726616,Call Me by Your Name,0,2017,132,"Drama,Romance",7.8,299700
tt5727208,Uncut Gems,0,2019,135,"Crime,Drama,Thriller",7.4,306342
tt6105098,The Lion King,0,2019,118,"Adventure,Animation,Drama",6.8,260650
tt6139732,Aladdin,0,2019,128,"Adventure,Comedy,Family",6.9,283295
tt6146586,John Wick: Chapter 3 - Parabellum,0,2019,130,"Action,Crime,Thriller",7.4,409352
tt6148156,Vikram Vedha,0,2017,147,"Action,Crime,Drama",8.2,49303
tt6264654,Free Guy,0,2021,115,"Action,Adventure,Comedy",7.1,405844
tt6316138,Ayla: The Daughter of War,0,2017,125,"Biography,Drama,History",8.3,42609
tt6320628,Spider-Man: Far from Home,0,2019,129,"Action,Adventure,Comedy",7.4,535340
tt6334354,The Suicide Squad,0,2021,132,"Action,Adventure,Comedy",7.2,389872
tt6443346,Black Adam,0,2022,125,"Action,Adventure,Fantasy",6.2,261799
tt6499752,Upgrade,0,2018,100,"Action,Sci-Fi,Thriller",7.5,199678
tt6565702,Dark Phoenix,0,2019,113,"Action,Adventure,Sci-Fi",5.7,199297
tt6628102,The Wild Pear Tree,0,2018,188,Drama,8.0,26602
tt6644200,A Quiet Place,0,2018,90,"Drama,Horror,Sci-Fi",7.5,566221
tt6710474,Everything Everywhere All at Once,0,2022,139,"Action,Adventure,Comedy",7.8,485716
tt6718170,The Super Mario Bros. Movie,0,2023,92,"Adventure,Animation,Comedy",7.1,200708
tt6723592,Tenet,0,2020,150,"Action,Sci-Fi,Thriller",7.3,565834
tt6751668,Parasite,0,2019,132,"Drama,Thriller",8.5,898402
tt6791350,Guardians of the Galaxy Vol. 3,0,2023,150,"Action,Adventure,Comedy",7.9,337214
tt6806448,Fast & Furious Presents: Hobbs & Shaw,0,2019,137,"Action,Adventure,Thriller",6.5,229523
tt6823368,Glass,0,2019,129,"Drama,Horror,Sci-Fi",6.6,260139
tt6857112,Us,0,2019,116,"Horror,Mystery,Thriller",6.8,328876
tt6966692,Green Book,0,2018,130,"Biography,Comedy,Drama",8.2,540114
tt7019842,96,0,2018,158,"Drama,Romance",8.5,34743
tt7060344,Raatchasan,0,2018,170,"Action,Crime,Drama",8.3,48686
tt7097896,Venom: Let There Be Carnage,0,2021,97,"Action,Sci-Fi,Thriller",5.9,249520
tt7126948,Wonder Woman 1984,0,2020,151,"Action,Adventure,Fantasy",5.4,285398
tt7131622,Once Upon a Time in Hollywood,0,2019,161,"Comedy,Drama",7.6,806419
tt7286456,Joker,0,2019,122,"Crime,Drama,Thriller",8.4,1415444
tt7349662,BlacKkKlansman,0,2018,135,"Biography,Comedy,Crime",7.5,282167
tt7349950,It Chapter Two,0,2019,169,"Drama,Fantasy,Horror",6.5,291545
