tconst,directors,writers
tt0053198,nm0000076,"nm0000076,nm0610115"
tt0053221,nm0001328,"nm0299154,nm0102824,nm0564800"
tt0053291,nm0000697,"nm0000697,nm0224634,nm0858329,nm0517615"
tt0053604,nm0000697,"nm0000697,nm0224634"
tt0053779,nm0000019,"nm0000019,nm0280919,nm0684083,nm0740021,nm0001596"
tt0053946,nm0006452,"nm0949917,nm0808414,nm0492823,nm0498126"
tt0053976,nm0000005,nm0410694
tt0054215,nm0000033,"nm0825010,nm0088645"
tt0054997,nm0744035,"nm0140987,nm0744035,nm0856677"
tt0055031,nm0006452,"nm0542631,nm0001050"
tt0055601,nm0000320,"nm0017855,nm0000320,nm0701918"
tt0055630,nm0000041,"nm0000041,nm0452878"
tt0056058,nm0462030,"nm0847668,nm0368074"
tt0056111,"nm0001789,nm0007672","nm1530016,nm0660353,nm0001789,nm0464846"
tt0056172,nm0000180,"nm0004122,nm0933858"
tt0056217,nm0000406,"nm0068650,nm0325135,nm0424986"
tt0056443,nm0000041,"nm0452878,nm0644823,nm0000041,nm0945491"
tt0056592,nm0612322,"nm0497369,nm0285210"
tt0056687,nm0000736,"nm0268230,nm0375355"
tt0056732,nm0000320,"nm0000320,nm0017274"
tt0056801,nm0000019,"nm0000019,nm0280919,nm0684083,nm0740021"
tt0057012,nm0000040,"nm0000040,nm0816143,nm0313570"
tt0057115,nm0836328,"nm0108595,nm0165412,nm0122446"
tt0057358,nm0000005,nm0000005
tt0057565,nm0000041,"nm0644823,nm0452878,nm0386750,nm0000041,nm0402805"
tt0058946,nm0690597,"nm0758357,nm0690597"
tt0059578,nm0001466,"nm0001466,nm0607694,nm0898812,nm0006872,nm0217258,nm0223964"
tt0059742,nm0936404,"nm0403346,nm0512231,nm0189496,nm0499626,nm0903125"
tt0060107,nm0001789,"nm0464846,nm0001789"
tt0060196,nm0001466,"nm0898812,nm0001466,nm0408488,nm0769249"
tt0060827,nm0000005,nm0000005
tt0061184,nm0001566,"nm0499626,nm0016361"
tt0061512,nm0742341,"nm0668914,nm0682757,nm0237543"
tt0061722,nm0001566,"nm0932229,nm0377750,nm0916047"
tt0062229,nm0578483,"nm0572819,nm0578483,nm0670958"
tt0062622,nm0000040,"nm0000040,nm0002009"
tt0063442,nm0769874,"nm0933858,nm0785245,nm0099541,nm0445934"
tt0063522,nm0000591,"nm0505615,nm0000591"
tt0064115,nm0001351,nm0001279
tt0064116,nm0001466,"nm0006872,nm0001466,nm0000783,nm0000934"
tt0065234,nm0002020,"nm0890825,nm0783934,nm0002020,nm0059553"
tt0066763,nm0611531,"nm0611531,nm0347899,nm0611520,nm0244887"
tt0066921,nm0000040,"nm0000040,nm0121256"
tt0067093,nm0422484,"nm0017833,nm0674135,nm0825524"
tt0067328,nm0000953,"nm0573505,nm0000953"
tt0068646,nm0000338,"nm0701374,nm0000338"
tt0069281,nm0000581,nm0787289
tt0069293,nm0001789,"nm0501015,nm0330830,nm0001789"
tt0069467,nm0000005,nm0000005
tt0070047,nm0001243,nm0087861
tt0070510,nm0000953,"nm0113872,nm0765091"
tt0070511,nm0769874,"nm0874308,nm0783913,nm0153508,nm0001279"
tt0070735,nm0001351,nm0911486
tt0071315,nm0000591,"nm0001801,nm0000591"
tt0071411,nm0000041,"nm0000041,nm0619330,nm0037539"
tt0071562,nm0000338,"nm0000338,nm0701374"
